,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
571,Labuhan,ID,84.65,overcast clouds,-6.8844,112.2051,DoubleFAG
573,Yako,BF,75.31,clear sky,12.9667,-2.2667,CADAAY
576,Veraval,IN,75.2,clear sky,20.9,70.3667,Lords Inn Somnath
579,Mormugao,IN,76.26,few clouds,15.4,73.8,Coconut Creek Resort
582,Ruteng,ID,76.03,scattered clouds,-8.6136,120.4721,Hotel FX 72
586,Pundaguitan,PH,83.08,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
591,Phibun Mangsahan,TH,80.58,few clouds,15.2447,105.2291,ซันนี่ รีสอร์ท
593,Bandarbeyla,SO,76.84,clear sky,9.4942,50.8122,JABIR HOTEL
595,Naze,JP,67.12,overcast clouds,28.3667,129.4833,Shishime Hotel
598,Kawalu,ID,78.03,overcast clouds,-7.3817,108.2082,West Jontor
599,Vilhena,BR,71.78,heavy intensity rain,-12.7406,-60.1458,Hotel Mirage
600,Todos Santos,MX,73.04,clear sky,23.45,-110.2167,Hotel California Todos Santos
613,Itoman,JP,73.42,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
614,Le Port,RE,71.26,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
617,Belmonte,BR,75.88,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
620,Pontes E Lacerda,BR,70.59,overcast clouds,-15.2261,-59.3353,Hotel Bressan
630,Singapore,SG,80.2,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
631,Beloha,MG,74.16,overcast clouds,-25.1667,45.05, 
633,Quelimane,MZ,75.15,scattered clouds,-17.8786,36.8883,Hotel Flamingo
634,Doha,QA,78.78,clear sky,25.2867,51.5333,Mövenpick Doha
639,Gambela,ET,69.44,light rain,8.25,34.5833,Solomon Debebe Hotel
641,Ulladulla,AU,66.43,light rain,-35.35,150.4667,Sandpiper Motel
645,Arlit,NE,66.45,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
647,Gushikawa,JP,72.63,overcast clouds,26.3544,127.8686,Kirari Guest House
648,Acapulco,MX,78.96,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
652,Nanakuli,US,84.15,clear sky,21.3906,-158.1547,Camp Pālehua
653,Qeshm,IR,73.29,light rain,26.9581,56.2719,Qeshm Kavan Hotel
655,Kismayo,SO,78.26,broken clouds,-0.3582,42.5454,Agan-Hotel
656,Buchanan,LR,76.44,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
657,Bajil,YE,76.91,clear sky,15.0584,43.2851,فندق حضرموت
658,Wagar,SD,76.59,clear sky,16.1525,36.2032, 
660,Tambun,ID,84.24,haze,-6.2641,107.0712,Metland Hotel Bekasi
661,Marawi,PH,81.39,overcast clouds,7.9986,124.2928,Derogongan Residence
663,Pleasant Point,NZ,66.27,broken clouds,-44.2667,171.1333,Pleasant Point Hotel
664,Senador Guiomard,BR,80.35,overcast clouds,-10.1522,-67.7392,Paraíso Hotel
665,Santa Cruz De La Palma,ES,78.13,clear sky,28.6835,-17.7642,H10 Taburiente Playa
666,Kiama,AU,74.37,scattered clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
667,Aitape,PG,76.93,moderate rain,-3.1374,142.3475, 
673,Jalingo,NG,74.44,clear sky,8.8833,11.3667,Debright Motel
674,Hobyo,SO,79.34,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
675,Esmeralda,CU,75.16,clear sky,21.8525,-78.1169,Centro de Pioneros Exploradores
676,Karratha,AU,83.86,moderate rain,-20.7377,116.8463,ibis Styles Karratha
678,Mangochi,MW,74.16,light rain,-14.4782,35.2645,Fort Johnstone Hotel
679,Palora,EC,66.07,moderate rain,-1.7,-77.9333,Rancho grande
681,Santa Cruz,BO,78.26,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
682,Tecoanapa,MX,79.65,clear sky,16.5167,-98.75,Hotel Manglares
684,Yaan,NG,72.23,overcast clouds,7.3833,8.5667, 
685,Valparaiso,CL,65.84,clear sky,-33.0393,-71.6273,Hotel Ultramar
688,Tumaco,CO,75.51,few clouds,1.7986,-78.8156,Calle nueva creación
690,Mao,ES,66.76,broken clouds,39.8885,4.2658,ARTIEM Capri
692,Acajutla,SV,79.16,broken clouds,13.5928,-89.8275,CASA DE LA PERRA
697,Axim,GH,76.93,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
699,Birao,CF,67.26,broken clouds,10.2849,22.7882, 
701,Iranshahr,IR,67.69,clear sky,27.2025,60.6848,نیک سرشت
703,Mbaiki,CF,70.7,few clouds,3.8678,17.9892,Motel MBM
